"count_frequencies","mean_math","mean_reading","mean_writing","overall_mean","formation","test_preparation_course","groups"
"15","64.6","70.0","69.0","67.87","high_school_education","completed","group_a"
"27","56.77777777777778","58.22222222222222","54.074074074074076","56.36","high_school_education","none","group_a"
"12","71.33333333333333","72.83333333333333","72.75","72.31","not_especified","completed","group_a"
"20","57.4","62.45","59.35","59.73","not_especified","none","group_a"
"4","72.75","69.5","72.5","71.58","university_education","completed","group_a"
"11","62.54545454545455","66.63636363636364","66.63636363636364","65.27","university_education","none","group_a"
"34","63.85294117647059","68.47058823529412","67.47058823529412","66.6","high_school_education","completed","group_b"
"52","58.61538461538461","62.36538461538461","59.63461538461539","60.21","high_school_education","none","group_b"
"28","71.17857142857143","76.35714285714286","75.35714285714286","74.3","not_especified","completed","group_b"
"50","61.1","62.96","61.26","61.77","not_especified","none","group_b"
"6","67.5","81.33333333333333","80.66666666666667","76.5","university_education","completed","group_b"
"20","69.2","72.6","70.6","70.8","university_education","none","group_b"
"37","62.432432432432435","66.72972972972973","66.45945945945945","65.21","high_school_education","completed","group_c"
"76","59.93421052631579","64.07894736842105","60.36842105263158","61.46","high_school_education","none","group_c"
"51","69.45098039215686","76.80392156862744","77.98039215686275","74.75","not_especified","completed","group_c"
"96","64.13541666666667","66.88541666666667","65.16666666666667","65.4","not_especified","none","group_c"
"29","70.51724137931035","76.96551724137932","78.44827586206897","75.31","university_education","completed","group_c"
"30","65.16666666666667","71.16666666666667","69.4","68.58","university_education","none","group_c"
"30","68.4","71.56666666666666","73.4","71.12","high_school_education","completed","group_d"
"64","63.3125","65.40625","63.0","63.91","high_school_education","none","group_d"
"37","71.13513513513513","76.1891891891892","78.62162162162163","75.32","not_especified","completed","group_d"
"80","66.9125","68.2125","67.35","67.49","not_especified","none","group_d"
"15","69.26666666666667","74.26666666666667","78.33333333333333","73.96","university_education","completed","group_d"
"36","70.02777777777777","72.91666666666667","74.22222222222223","72.39","university_education","none","group_d"
"17","74.94117647058823","74.58823529411765","72.88235294117646","74.14","high_school_education","completed","group_e"
"23","68.73913043478261","66.56521739130434","62.82608695652174","66.04","high_school_education","none","group_e"
"31","76.41935483870968","75.7741935483871","74.90322580645162","75.7","not_especified","completed","group_e"
"43","72.93023255813954","71.44186046511628","69.53488372093024","71.3","not_especified","none","group_e"
"12","83.58333333333333","81.91666666666667","83.16666666666667","82.89","university_education","completed","group_e"
"14","69.42857142857143","72.92857142857143","71.64285714285714","71.33","university_education","none","group_e"
